Word	Wordnet Synset	Wordnet ID	Wordnet ID2	Wordnet ID3	uniqueID
bulletin board	bulletin_board, notice_board	n02916538	bulletin_board%1:06:00::	bulletin_board#2	bulletin_board
bulletproof vest	bulletproof_vest	n02916936	bulletproof_vest%1:06:00::	bulletproof_vest#1	bulletproof_vest
bumper	bumper	n02918595	bumper%1:06:00::	bumper#2	bumper
bun	bun				bun
bungee	bungee, bungee_cord	n02919890	bungee%1:06:00::	bungee#1	bungee
bunkbed	bunk_bed, bunk	n02920259	bunk%1:06:02::	bunk#6	bunkbed
buoy	buoy	n07266178	buoy%1:10:00::	buoy#1	buoy
burner	burner	n02923331	burner%1:06:01::	burner#2	burner
burrito	burrito	n07880968	burrito%1:13:00::	burrito#1	burrito
bus	bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger_vehicle	n02924116	bus%1:06:00::	bus#1	bus
bush	shrub, bush	n13112664	bush%1:20:00::	bush#1	bush
butter	butter	n07848338	butter%1:13:00::	butter#1	butter
butterfly	butterfly	n02274259	butterfly%1:05:00::	butterfly#1	butterfly
button	button	n02928608	button%1:06:00::	button#1	button1
button	push_button, push, button	n04027023	button%1:06:01::	button#2	button2
cabbage	cabbage, cultivated_cabbage, Brassica_oleracea	n11875691	cabbage%1:20:00::	cabbage#3	cabbage
cabinet	cabinet	n02933112	cabinet%1:06:00::	cabinet#1	cabinet
cable	cable, line, transmission_line	n02934168	cable%1:06:02::	cable#2	cable
cactus	cactus	n11842204	cactus%1:20:00::	cactus#1	cactus
cage	cage, coop	n02936714	cage%1:06:00::	cage#1	cage
cake	cake	n07628870	cake%1:13:00::	cake#3	cake
cake mix	cake_mix	n07594066	cake_mix%1:13:00::	cake_mix#1	cake_mix
calamari	squid, calamari, calamary	n07781801	calamari%1:13:00::	calamari#1	calamari
calculator	calculator, calculating_machine	n02938886	calculator%1:06:00::	calculator#2	calculator
calf	calf	n01887896	calf%1:05:00::	calf#1	calf1
calf	calf, sura	n05574332	calf%1:08:00::	calf#2	calf2
calzone	calzone, calzone_pizza				calzone
camcorder	camcorder	n02942349	camcorder%1:06:00::	camcorder#1	camcorder
camel	camel	n02437136	camel%1:05:00::	camel#1	camel
camera lens	camera_lens, optical_lens	n02943241	camera_lens%1:06:00::	camera_lens#1	camera_lens
camera	camera, photographic_camera	n02942699	camera%1:06:00::	camera#1	camera1
camera	television_camera, tv_camera, camera	n04404997	camera%1:06:01::	camera#2	camera2
camper	camper, camping_bus, motor_home	n02946348	camper%1:06:00::	camper#2	camper
can	can, tin, tin_can	n02946921	can%1:06:00::	can#1	can
can opener	can_opener, tin_opener	n02951585	can_opener%1:06:00::	can_opener#1	can_opener
candelabra	candelabrum, candelabra	n02947818	candelabra%1:06:00::	candelabra#1	candelabra
candle	candle, taper, wax_light	n02948072	candle%1:06:00::	candle#1	candle
candlestick	candlestick, candle_holder	n02948557	candlestick%1:06:00::	candlestick#1	candlestick
candy	candy, confect	n07597365	candy%1:13:00::	candy#1	candy
candy bar	candy_bar	n07598256	candy_bar%1:13:00::	candy_bar#1	candy_bar
candy cane	candy_cane	n07601572	candy_cane%1:13:00::	candy_cane#1	candy_cane
cane	cane	n02949202	cane%1:06:01::	cane#1	cane
canister	canister, cannister, tin	n02949542	canister%1:06:00::	canister#2	canister
cannon	cannon	n02950256	cannon%1:06:00::	cannon#1	cannon
cannonball	cannonball, cannon_ball, round_shot	n02950943	cannonball%1:06:00::	cannonball#1	cannonball
canoe	canoe	n02951358	canoe%1:06:00::	canoe#1	canoe
cantaloupe	cantaloup, cantaloupe	n07755929	cantaloup%1:13:00::	cantaloup#2	cantaloupe
canvas	canvas, canvass	n02954068	canvas%1:06:04::	canvas#2	canvas
cap	cap	n02954938	cap%1:06:02::	cap#2	cap
cape	cape, mantle	n02955767	cape%1:06:00::	cape#2	cape
car	car, auto, automobile, machine, motorcar	n02958343	car%1:06:00::	car#1	car
car door	car_door	n02963821	car_door%1:06:00::	car_door#1	car_door
car seat	car_seat	n02970685	car_seat%1:06:00::	car_seat#1	car_seat
caramel	caramel	n07601809	caramel%1:13:00::	caramel#1	caramel
card	card	n02962545	card%1:06:00::	card#1	card
cardboard	cardboard, composition_board	n14799601	cardboard%1:27:00::	cardboard#1	cardboard
cardigan	cardigan	n02963159	cardigan%1:06:00::	cardigan#1	cardigan
cardinal	cardinal, cardinal_grosbeak, Richmondena_Cardinalis, Cardinalis_cardinalis, redbird	n01541386	cardinal%1:05:00::	cardinal#4	cardinal
carousel	carousel, carrousel, merry-go-round, roundabout, whirligig	n02966193	carousel%1:06:00::	carousel#2	carousel
carriage	carriage, equipage, rig	n02968473	carriage%1:06:00::	carriage#2	carriage
carrot	carrot	n07730207	carrot%1:13:00::	carrot#3	carrot
cart	cart	n02970849	cart%1:06:00::	cart#1	cart
cash machine	cash_machine, cash_dispenser, automated_teller_machine, automatic_teller_machine, automated_teller, automatic_teller, ATM	n02977058	cash_machine%1:06:00::	cash_machine#1	cash_machine
cash register	cash_register, register	n02977438	cash_register%1:06:00::	cash_register#1	cash_register
cashew	cashew, cashew_nut	n07772147	cashew%1:13:00::	cashew#2	cashew
casserole	casserole	n07580359	casserole%1:13:00::	casserole#1	casserole
cassette	cassette	n02978881	cassette%1:06:00::	cassette#1	cassette
cat	cat, true_cat	n02121620	cat%1:05:00::	cat#1	cat
catapult	catapult, arbalest, arbalist, ballista, bricole, mangonel, onager, trebuchet, trebucket	n02981911	catapult%1:06:00::	catapult#3	catapult
caterpillar	caterpillar	n02309337	caterpillar%1:05:00::	caterpillar#1	caterpillar
catfish	catfish, siluriform_fish	n02517442	catfish%1:05:01::	catfish#3	catfish
cauliflower	cauliflower	n07715103	cauliflower%1:13:00::	cauliflower#2	cauliflower
caviar	caviar, caviare	n07799579	caviar%1:13:00::	caviar#1	caviar
cd player	CD_player	n02988304	cd_player%1:06:00::	CD_player#1	cd_player
celery	celery	n07730406	celery%1:13:00::	celery#2	celery
cello	cello, violoncello	n02992211	cello%1:06:00::	cello#1	cello
cellphone	cellular_telephone, cellular_phone, cellphone, cell, mobile_phone	n02992529	cellphone%1:06:00::	cellphone#1	cellphone
cement mixer	concrete_mixer, cement_mixer	n03087069	cement_mixer%1:06:00::	cement_mixer#1	cement_mixer
centerpiece	centerpiece, centrepiece	n02994419	centerpiece%1:06:00::	centerpiece#2	centerpiece
centrifuge	centrifuge, extractor, separator	n02995998	centrifuge%1:06:00::	centrifuge#1	centrifuge
cereal	cereal	n07702796	cereal%1:13:00::	cereal#3	cereal
chain	chain	n02999410	chain%1:06:00::	chain#3	chain
chainsaw	chain_saw, chainsaw	n03000684	chainsaw%1:06:00::	chainsaw#1	chainsaw
chair	chair	n03001627	chair%1:06:00::	chair#1	chair
chalice	chalice, goblet	n03002948	chalice%1:06:00::	chalice#1	chalice
chalk	chalk	n03003091	chalk%1:06:00::	chalk#4	chalk
chalkboard	blackboard, chalkboard	n02846511	chalkboard%1:06:00::	chalkboard#1	chalkboard
champagne	champagne, bubbly	n07893642	champagne%1:13:00::	champagne#1	champagne
chandelier	chandelier, pendant, pendent	n03005285	chandelier%1:06:00::	chandelier#1	chandelier
chaps	chap	n03006903	chap%1:06:00::	chap#4	chaps
charcoal	charcoal, wood_coal	n14685296	charcoal%1:27:00::	charcoal#1	charcoal
charger	charger, battery_charger	n03008976	charger%1:06:00::	charger#2	charger
chariot	chariot	n03009269	chariot%1:06:01::	chariot#2	chariot
checkbook	checkbook, chequebook	n13414310	checkbook%1:21:00::	checkbook#1	checkbook
checkers	checkers, draughts	n00502952	checkers%1:04:00::	checkers#1	checkers
cheese	cheese	n07850329	cheese%1:13:00::	cheese#1	cheese
cheeseburger	cheeseburger	n07697313	cheeseburger%1:13:00::	cheeseburger#1	cheeseburger
cheesecake	cheesecake	n07630089	cheesecake%1:13:00::	cheesecake#1	cheesecake
cheetah	cheetah, chetah, Acinonyx_jubatus	n02130308	cheetah%1:05:00::	cheetah#1	cheetah
cherry	cherry	n07757132	cherry%1:13:00::	cherry#3	cherry
chess piece	chessman, chess_piece	n03014440	chess_piece%1:06:00::	chess_piece#1	chess_piece
chessboard	chessboard, chess_board	n03014317	chessboard%1:06:00::	chessboard#1	chessboard
chest	breast, chest	n05553288	breast%1:08:01::	breast#1	chest1
chest	chest	n03014705	chest%1:06:00::	chest#2	chest2
chick	chick, biddy	n01792042	chick%1:05:00::	chick#1	chick
chicken wire	chicken_wire	n03016609	chicken_wire%1:06:00::	chicken_wire#1	chicken_wire
chicken	chicken, poulet, volaille	n07644967	chicken%1:13:00::	chicken#1	chicken1
chicken	chicken, Gallus_gallus	n01791625	chicken%1:05:01::	chicken#2	chicken2
chickpea	chickpea, garbanzo	n07726095	chickpea%1:13:00::	chickpea#3	chickpea
chihuahua	Chihuahua	n02085620	chihuahua%1:05:00::	Chihuahua#3	chihuahua
chili	chili, chili_con_carne	n07864934	chili%1:13:01::	chili#1	chili
chime	chime, bell, gong	n03017168	chime%1:06:00::	chime#1	chime
chimney	chimney	n03017428	chimney%1:06:00::	chimney#1	chimney
chin	chin, mentum	n05599617	chin%1:08:00::	chin#1	chin
chinaware	chinaware, china	n03018493	chinaware%1:06:00::	chinaware#1	chinaware
chinchilla	chinchilla, Chinchilla_laniger	n02367492	chinchilla%1:05:00::	chinchilla#3	chinchilla
chip	chip, microchip, micro_chip, silicon_chip, microprocessor_chip	n03020034	chip%1:06:00::	chip#7	chip
chipmunk	chipmunk	n02360282	chipmunk%1:05:02::	chipmunk#1	chipmunk
chips	chip, crisp, potato_chip, Saratoga_chip	n07712559	chip%1:13:00::	chip#4	chips
chisel	chisel	n03020692	chisel%1:06:00::	chisel#1	chisel
chive	chives, chive, cive, schnittlaugh, Allium_schoenoprasum	n12435152	chive%1:20:00::	chive#1	chive
chocolate	chocolate	n07601999	chocolate%1:13:00::	chocolate#2	chocolate
chopsticks	chopstick	n03025755	chopstick%1:06:00::	chopstick#1	chopsticks
christmas card	Christmas_card	n06627623	christmas_card%1:10:00::	Christmas_card#1	christmas_card
christmas tree	Christmas_tree	n03026626	christmas_tree%1:06:00::	Christmas_tree#5	christmas_tree
chute	chute, slide, slideway, sloping_trough	n03029603	chute%1:06:00::	chute#2	chute
cigar	cigar	n03030035	cigar%1:06:00::	cigar#1	cigar
cigarette	cigarette, cigaret, coffin_nail, butt, fag	n03030663	cigaret%1:06:00::	cigaret#1	cigarette
cigarette butt	cigarette_butt	n03030880	cigarette_butt%1:06:00::	cigarette_butt#1	cigarette_butt
